Product_ID,Product_Category,Product_Sub-Category,Product_Name
TEC-AC-10004659,Hàng điện tử,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
FUR-TA-10000688,Nội thất,Bàn,Bàn dài office suôn gỗ ép
TEC-AC-10003441,Hàng điện tử,Accessories,Kingston Digital DataTraveler 32GB USB 2.0
FUR-FU-10000747,Nội thất,Giường,Tenex B1-RE Series Chair Mats for Low Pile Carpets
FUR-FU-10001918,Nội thất,Giường,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
OFF-PA-10003309,Hàng điện lạnh,Tủ lạnh,Xerox 211
OFF-PA-10001977,Hàng điện lạnh,Tủ lạnh,Xerox 194
OFF-AR-10001725,Hàng điện lạnh,Máy giặt,Boston Home & Office Model 2000 Electric Pencil Sharpeners
OFF-BI-10002794,Hàng điện lạnh,Máy giặt,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
TEC-AC-10004171,Hàng điện tử,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset
FUR-FU-10004415,Nội thất,Giường,"Stacking Tray, Side-Loading, Legal, Smoke"
OFF-PA-10000100,Hàng điện lạnh,Tủ lạnh,Xerox 1945
OFF-PA-10003441,Hàng điện lạnh,Tủ lạnh,Xerox 226
TEC-PH-10004922,Hàng điện tử,Phones,RCA Visys Integrated PBX 8-Line Router
OFF-FA-10000611,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH CH V19APC
OFF-PA-10004733,Hàng điện lạnh,Tủ lạnh,Things To Do Today Spiral Book
FUR-TA-10001086,Nội thất,Bàn,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine"
FUR-TA-10003748,Nội thất,Bàn,Bevis 36 x 72
TEC-AC-10001908,Hàng điện tử,Accessories,Logitech Wireless Headset h800
FUR-TA-10004442,Nội thất,Bàn,Riverside Nội thất Stanwyck Manor Table Series
OFF-FA-10001332,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH CH V18APC
TEC-AC-10002001,Điện tử,Accessories,Logitech Wireless Gaming Headset G930
OFF-PA-10000029,Hàng điện lạnh,Tủ lạnh,Xerox 224
TEC-AC-10001874,Hàng điện tử,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac
OFF-BI-10004817,Hàng điện lạnh,Máy giặt,GBC Personal VeloBind Strips
TEC-PH-10001835,Hàng điện tử,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker
OFF-ST-10000876,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG V13ENC
TEC-PH-10000586,Hàng điện tử,Phones,AT&T SB67148 SynJ
TEC-AC-10003399,Hàng điện tử,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive
TEC-PH-10001557,Hàng điện tử,Phones,Pyle PMP37LED
TEC-PH-10000576,Hàng điện tử,Phones,AT&T 1080 Corded phone
OFF-BI-10002764,Hàng điện lạnh,Máy giặt,Recycled Pressboard Report Cover with Reinforced Top Hinge
OFF-PA-10000289,Hàng điện lạnh,Tủ lạnh,Xerox 213
OFF-AR-10002987,Hàng điện lạnh,Máy giặt,Prismacolor Color Pencil Set
OFF-AR-10000122,Hàng điện lạnh,Máy giặt,Newell 314
OFF-BI-10003656,Hàng điện lạnh,Máy giặt,Fellowes PB200 Plastic Comb Binding Machine
OFF-FA-10002780,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH SHARP AH-AP12PMW
TEC-PH-10000702,Hàng điện tử,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
OFF-LA-10002368,Hàng điện lạnh,Máy điều hòa,Avery 479
OFF-AP-10000240,Hàng điện lạnh,Máy giặt,Belkin F9G930V10-GRY 9 Outlet Surge
FUR-FU-10004091,Nội thất,Giường,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
TEC-MA-10002859,Hàng điện tử,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder
OFF-AR-10002375,Hàng điện lạnh,Máy giặt,Newell 351
OFF-AR-10000657,Hàng điện lạnh,Máy giặt,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-FA-10000134,Hàng điện lạnh,Máy điều hòa,"MÁY LẠNH ELECTROLUX ESM12CRF-D4, Aluminum Head"
OFF-AR-10001868,Hàng điện lạnh,Máy giặt,Prang Dustless Chalk Sticks
FUR-CH-10002602,Nội thất,Ghế,Sofa outdoor Bogor băng 2
OFF-EN-10000056,Hàng điện lạnh,Tủ lạnh,Cameo Buff Policy Tủ lạnh
TEC-AC-10000474,Hàng điện tử,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac
FUR-FU-10004017,Nội thất,Giường,"Executive Impressions 13"" Chairman Wall Clock"
OFF-BI-10003638,Hàng điện lạnh,Máy giặt,GBC Durable Plastic Covers
OFF-PA-10001569,Hàng điện lạnh,Tủ lạnh,Xerox 232
FUR-TA-10001705,Nội thất,Bàn,Bàn tròn
OFF-ST-10004634,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN FTKC60NVMV-AAA
FUR-FU-10000409,Nội thất,Giường,"GE 4 Foot Flourescent Tube, 40 Watt"
OFF-BI-10002976,Hàng điện lạnh,Máy giặt,ACCOHIDE Binder by Acco
OFF-ST-10002574,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 012LHJI
OFF-EN-10004773,Hàng điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW
OFF-BI-10004970,Hàng điện lạnh,Máy giặt,"ACCOHIDE 3-Ring Binder, Blue, 1"""
OFF-BI-10004876,Hàng điện lạnh,Máy giặt,Wilson Jones Suede Grain Vinyl Máy giặt
FUR-FU-10002191,Nội thất,Giường,G.E. Halogen Desk Lamp Bulbs
OFF-PA-10003543,Hàng điện lạnh,Tủ lạnh,Xerox 1985
OFF-AR-10002221,Hàng điện lạnh,Máy giặt,12 Colored Short Pencils
TEC-PH-10004531,Hàng điện tử,Phones,AT&T CL2909
FUR-FU-10003708,Nội thất,Giường,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
OFF-AP-10001391,Hàng điện lạnh,Máy giặt,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center
FUR-CH-10003973,Nội thất,Ghế,GuestStacker Chair with Chrome Finish Legs
FUR-CH-10004886,Nội thất,Ghế,Ghế bar 3BC-BIPOLY 1
OFF-BI-10001525,Hàng điện lạnh,Máy giặt,"Acco Pressboard Covers with Máy điều hòa Hooks, 14 7/8"" x 11"", Executive Red"
OFF-AR-10003504,Hàng điện lạnh,Máy giặt,Newell 347
OFF-BI-10001628,Hàng điện lạnh,Máy giặt,"Acco Data Flex Cable Posts For Top & Bottom Load Máy giặt, 6"" Capacity"
OFF-ST-10000877,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG G23PC
OFF-AR-10004752,Hàng điện lạnh,Máy giặt,Blackstonian Pencils
OFF-LA-10000452,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG H78UI
OFF-LA-10001613,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 020LHJI
OFF-ST-10002214,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 018LHJI
OFF-ST-10001128,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN 54NVMV
TEC-PH-10001459,Hàng điện tử,Phones,Samsung Galaxy Mega 6.3
FUR-FU-10001424,Nội thất,Giường,Dax Clear Box Frame
FUR-CH-10001394,Nội thất,Ghế,Ghế COPINE
OFF-ST-10000798,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH SHARP AH-A18MEW
TEC-PH-10000376,Hàng điện tử,Phones,Square Credit Card Reader
TEC-AC-10002550,Hàng điện tử,Accessories,Maxell 4.7GB DVD-RW 3/Pack
OFF-AR-10004010,Hàng điện lạnh,Máy giặt,Hunt Boston Vacuum Mount KS Pencil Sharpener
TEC-CO-10004202,Hàng điện tử,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine
OFF-LA-10002195,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 010LHJI1
OFF-BI-10004828,Hàng điện lạnh,Máy giặt,GBC Poly Designer Binding Covers
OFF-BI-10003981,Hàng điện lạnh,Máy giặt,"Avery Durable Plastic 1"" Máy giặt"
OFF-BI-10001294,Hàng điện lạnh,Máy giặt,Fellowes Binding Cases
OFF-FA-10000840,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL GHHG 021LHJI
FUR-FU-10001852,Nội thất,Giường,"Eldon Regeneration Recycled Desk Accessories, Smoke"
OFF-AP-10000696,Hàng điện lạnh,Máy giặt,Holmes Odor Grabber
OFF-PA-10003016,Hàng điện lạnh,Tủ lạnh,"Adams ""While You Were Out"" Message Pads"
OFF-AR-10003651,Hàng điện lạnh,Máy giặt,Newell 350
OFF-PA-10001363,Hàng điện lạnh,Tủ lạnh,Xerox 1933
OFF-ST-10003442,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH SAMSUNG AR12HCFSSURNSV
OFF-PA-10000474,Hàng điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW
OFF-BI-10003684,Hàng điện lạnh,Máy giặt,Wilson Jones Legal Size Ring Máy giặt
OFF-LA-10004425,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH SHARP AH-AP12PMW
OFF-AR-10001897,Hàng điện lạnh,Máy giặt,Model L Table or Wall-Mount Pencil Sharpener
OFF-BI-10001078,Hàng điện lạnh,Máy giặt,"Acco PRESSTEX Data Binder with Máy điều hòa Hooks, Dark Blue, 14 7/8"" X 11"""
OFF-AR-10002578,Hàng điện lạnh,Máy giặt,Newell 335
FUR-CH-10004445,Nội thất,Ghế,Ghế PUNK
TEC-CO-10001449,Hàng điện tử,Copiers,Hewlett Packard LaserJet 3310 Copier
TEC-AC-10000109,Hàng điện tử,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
OFF-ST-10000107,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG S09ENA
OFF-LA-10003121,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 017LHJI
OFF-PA-10002689,Hàng điện lạnh,Tủ lạnh,Weyerhaeuser First Choice Laser/Copy Tủ lạnh (20Lb. and 88 Bright)
OFF-EN-10001434,Hàng điện lạnh,Tủ lạnh,"Strathmore #10 Tủ lạnh, Ultimate White"
TEC-PH-10003988,Hàng điện tử,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
FUR-BO-10004444,Nội thất,Kệ sách,Bestar Classic Bookcase
OFF-AR-10000716,Hàng điện lạnh,Máy giặt,DIXON Ticonderoga Erasable Checking Pencils
OFF-PA-10004353,Hàng điện lạnh,Tủ lạnh,Miền Đông Nam Bộworth 25% Cotton Premium Laser Tủ lạnh and Tủ lạnh
TEC-PH-10001817,Hàng điện tử,Phones,Wilson Electronics DB Pro Signal Booster
OFF-SU-10004737,Hàng điện lạnh,Tủ lạnh,Acme Design Stainless Steel Bent Scissors
FUR-CH-10002320,Nội thất,Ghế,Hon Pagoda Stacking Ghế
TEC-AC-10001465,Hàng điện tử,Accessories,SanDisk Cruzer 64 GB USB Flash Drive
TEC-PH-10002597,Hàng điện tử,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium
FUR-FU-10000723,Nội thất,Giường,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
TEC-AC-10001013,Hàng điện tử,Accessories,Logitech ClearChat Comfort/USB Headset H390
OFF-AP-10004249,Hàng điện lạnh,Máy giặt,MÁY LẠNH SHARP AH-AP12PMW
FUR-CH-10000015,Nội thất,Ghế,Ghế đa năng 3FC1001-M
OFF-PA-10003036,Hàng điện lạnh,Tủ lạnh,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book"
OFF-BI-10002026,Hàng điện lạnh,Máy giặt,Avery Arch Ring Máy giặt
FUR-TA-10002228,Nội thất,Bàn,Bàn học gỗ slim
OFF-FA-10002815,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH SHARP AH-AP12PMW
OFF-BI-10004519,Hàng điện lạnh,Máy giặt,GBC DocuBind P100 Manual Binding Machine
TEC-AC-10002800,Hàng điện tử,Accessories,Plantronics Audio 478 Stereo USB Headset
FUR-FU-10004306,Nội thất,Giường,Electrix Halogen Magnifier Lamp
TEC-AC-10002217,Hàng điện tử,Accessories,Imation Clip USB flash drive - 8 GB
TEC-PH-10002885,Hàng điện tử,Phones,Apple iPhone 5
FUR-FU-10000308,Nội thất,Giường,Deflect-o Glass Clear Studded Chair Mats
OFF-PA-10001526,Hàng điện lạnh,Tủ lạnh,Xerox 1949
OFF-BI-10001249,Hàng điện lạnh,Máy giặt,Avery Heavy-Duty EZD View Binder with Locking Rings
OFF-AP-10000124,Hàng điện lạnh,Máy giặt,Acco 6 Outlet Guardian Basic Surge Suppressor
OFF-AR-10004511,Hàng điện lạnh,Máy giặt,"Sanford Colorific Scented Colored Pencils, 12/Pack"
FUR-FU-10000076,Nội thất,Giường,24-Hour Round Wall Clock
FUR-FU-10003489,Nội thất,Giường,Contemporary Borderless Frame
TEC-AC-10004227,Hàng điện tử,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card
OFF-BI-10003925,Hàng điện lạnh,Máy giặt,Fellowes PB300 Plastic Comb Binding Machine
TEC-PH-10001530,Hàng điện tử,Phones,Plantronics Voyager Pro Legend
OFF-PA-10003022,Hàng điện lạnh,Tủ lạnh,Xerox 1992
OFF-EN-10003134,Hàng điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW
FUR-CH-10003396,Nội thất,Ghế,Ghế đa năng 3FC1006-P
OFF-PA-10001560,Hàng điện lạnh,Tủ lạnh,"Adams Telephone Message Books, 5 1/4” x 11”"
OFF-BI-10000977,Hàng điện lạnh,Máy giặt,Ibico Plastic Spiral Binding Combs
